Java HotSpot(TM) 64-Bit Server VM (25.0.1) for Mac OS X
Memory: physical max 4194304K
CommandLine flags: -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+UseG1GC
2026-03-09T22:26:49.893+0400: [GC (G1 Young Generation (G1 Humongous Allocation)) 255M->251M(4096M), 0.001 secs]
2026-03-09T22:26:51.229+0400: [GC (G1 Young Generation (G1 Humongous Allocation)) 489M->373M(4096M), 0.000 secs]
2026-03-09T22:26:51.775+0400: [GC (G1 Young Generation (G1 Humongous Allocation)) 491M->341M(4096M), 0.001 secs]
2026-03-09T22:26:52.454+0400: [GC (G1 Young Generation (G1 Humongous Allocation)) 489M->369M(4096M), 0.002 secs]
2026-03-09T22:26:53.294+0400: [GC (G1 Young Generation (G1 Humongous Allocation)) 489M->393M(4096M), 0.000 secs]
2026-03-09T22:26:53.930+0400: [GC (G1 Young Generation (G1 Humongous Allocation)) 489M->381M(4096M), 0.000 secs]
2026-03-09T22:26:54.744+0400: [GC (G1 Young Generation (G1 Humongous Allocation)) 489M->413M(4096M), 0.001 secs]
2026-03-09T22:26:55.308+0400: [GC (G1 Young Generation (G1 Humongous Allocation)) 489M->386M(4096M), 0.001 secs]
2026-03-09T22:26:57.326+0400: [GC (G1 Young Generation (G1 Humongous Allocation)) 524M->407M(4096M), 0.004 secs]
2026-03-09T22:26:59.351+0400: [GC (G1 Young Generation (G1 Humongous Allocation)) 540M->429M(4096M), 0.004 secs]
2026-03-09T22:27:00.874+0400: [GC (G1 Young Generation (G1 Humongous Allocation)) 529M->467M(4096M), 0.002 secs]
2026-03-09T22:27:01.885+0400: [GC (G1 Young Generation (G1 Humongous Allocation)) 519M->477M(4096M), 0.002 secs]
2026-03-09T22:27:02.394+0400: [GC (G1 Young Generation (G1 Humongous Allocation)) 507M->487M(4096M), 0.002 secs]
2026-03-09T22:27:02.397+0400: [GC (G1 Young Generation (G1 Humongous Allocation)) 497M->497M(4096M), 0.002 secs]
2026-03-09T22:27:02.905+0400: [GC (G1 Young Generation (G1 Humongous Allocation)) 511M->489M(4096M), 0.002 secs]
2026-03-09T22:27:02.909+0400: [GC (G1 Young Generation (G1 Humongous Allocation)) 497M->497M(4096M), 0.002 secs]
2026-03-09T22:27:02.910+0400: [GC (G1 Young Generation (G1 Humongous Allocation)) 499M->499M(4096M), 0.002 secs]
2026-03-09T22:27:02.916+0400: [GC (G1 Concurrent GC (No GC)) 511M->431M(4096M), 0.003 secs]
2026-03-09T22:27:02.918+0400: [GC (G1 Concurrent GC (No GC)) 431M->431M(4096M), 0.000 secs]
